com,com_name,nombre_pistes_cyclables
38565,Voreppe,95
92077,Ville-d'Avray,95
14566,Saint-Contest,95
62427,Hénin-Beaumont,95
56007,Auray,95
47157,Marmande,95
29150,Moëlan-sur-Mer,95
37003,Amboise,95
33005,Andernos-les-Bains,95
88531,Xonrupt-Longemer,95
13117,Vitrolles,95
64422,Oloron-Sainte-Marie,94
95063,Bezons,94
78015,Andrésy,94
56155,Pénestin,94
40217,Parentis-en-Born,94
13047,Istres,94
14167,Colombelles,94
17452,Tremblade,94
95218,Éragny,94
69202,Sainte-Foy-lès-Lyon,94
91312,Igny,94
38193,Isle-d'Abeau,94
31588,Villeneuve-Tolosane,94
93064,Rosny-sous-Bois,93
57631,Sarreguemines,93
28134,Dreux,93
56186,Quiberon,93
78498,Poissy,92
13063,Miramas,92
68149,Huningue,92
38249,Montbonnot-Saint-Martin,92
59653,Wavrin,92
49331,Segré-en-Anjou Bleu,92
01283,Oyonnax,92
86062,Chasseneuil-du-Poitou,92
10343,Saint-Julien-les-Villas,91
93046,Livry-Gargan,91
30351,Villeneuve-lès-Avignon,91
30133,Grau-du-Roi,91
83126,Seyne-sur-Mer,91
29212,Plouzané,91
64335,Lescar,91
28088,Châteaudun,90
53201,Saint-Berthevin,90
50218,Granville,90
67343,Oberhausbergen,90
37109,Fondettes,90
93031,Épinay-sur-Seine,89
60175,Creil,89
02691,Saint-Quentin,89
64125,Bidart,89
40281,Saint-Pierre-du-Mont,89
38516,Tronche,89
34108,Frontignan,89
57480,Montigny-lès-Metz,89
33051,Biganos,88
38052,Bourg-d'Oisans,88
59544,Saint-Saulve,88
27375,Louviers,88
91174,Corbeil-Essonnes,88
66028,Cabestany,88
93053,Noisy-le-Sec,88
68271,Riedisheim,88
68376,Wittenheim,88
91687,Viry-Châtillon,88
94078,Villeneuve-Saint-Georges,88
73179,Motte-Servolex,88
62178,Bruay-la-Buissière,88
76217,Dieppe,88
44110,Nort-sur-Erdre,87
01173,Gex,87
67348,Obernai,87
54304,Laxou,87
74225,Rumilly,87
17380,Saint-Palais-sur-Mer,87
43157,Puy-en-Velay,87
60141,Chantilly,87
59143,Chapelle-d'Armentières,86
22050,Dinan,86
29046,Douarnenez,86
78545,Saint-Cyr-l'École,86
17200,Lagord,86
91345,Longjumeau,86
67118,Eckbolsheim,85
39526,Tavaux,85
74094,Cranves-Sales,85
94067,Saint-Mandé,85
77445,Savigny-le-Temple,85
94079,Villiers-sur-Marne,85
17337,Saint-Georges-d'Oléron,85
95323,Jouy-le-Moutier,85
93063,Romainville,84
01313,Prévessin-Moëns,84
79049,Bressuire,84
92009,Bois-Colombes,84
59107,Bray-Dunes,84
94043,Kremlin-Bicêtre,84
91573,Saint-Pierre-du-Perray,84
91286,Grigny,84
62065,Avion,84
85051,Chantonnay,84
29037,Combrit,84
49278,Sainte-Gemmes-sur-Loire,83
40184,Mimizan,83
76497,Petit-Couronne,83
78358,Maisons-Laffitte,83
95277,Gonesse,83
49323,Verrières-en-Anjou,83
01354,Saint-Genis-Pouilly,83
77468,Torcy,83
91534,Saclay,83
74042,Bonneville,83
34032,Béziers,83
83047,Crau,82
85090,Sèvremont,82
94021,Chevilly-Larue,82
64129,Billère,82
64410,Mourenx,82
93078,Villepinte,82
77373,Pontault-Combault,82
26084,Châteauneuf-sur-Isère,82
59383,Marly,82
94069,Saint-Maurice,82
74081,Cluses,82
85084,Essarts en Bocage,81
56178,Pontivy,81
07324,Tournon-sur-Rhône,81
12145,Millau,81
59152,Comines,81
77152,Dammarie-les-Lys,81
69276,Feyzin,81
77058,Bussy-Saint-Georges,81
77014,Avon,81
14258,Falaise,81
59346,Lezennes,81
44018,Bouaye,80
44049,Croisic,80
13097,Saint-Martin-de-Crau,80
78650,Vésinet,80
93061,Pré-Saint-Gervais,80
51172,Cormontreuil,80
13203,Marseille 3e Arrondissement,80
38486,Seyssins,80
17142,Dompierre-sur-Mer,80
56096,Landaul,79
95219,Ermont,79
44087,Machecoul-Saint-Même,79
77083,Champs-sur-Marne,79
94011,Bonneuil-sur-Marne,79
44198,Sorinières,78
67267,Lingolsheim,78
93071,Sevran,78
33097,Carcans,78
49129,Écouflant,78
47031,Boé,78
69019,Belleville-en-Beaujolais,78
69096,Grigny,78
59043,Bailleul,78
74305,Ville-la-Grand,78
21515,Quetigny,78
30011,Angles,78
72008,Arnage,77
29235,Relecq-Kerhuon,77
34169,Montferrier-sur-Lez,77
72328,Sargé-lès-le-Mans,77
40187,Moliets-et-Maa,77
33376,Saint-Aubin-de-Médoc,77
59278,Hallennes-lez-Haubourdin,77
95424,Montigny-lès-Cormeilles,77
71445,Saint-Marcel,77
35069,Châteaugiron,77
59569,Sin-le-Noble,76
33167,Floirac,76
